title,comment_count,averge_price,type,area,recommend,group_purchase,preferential
解家河南菜(商鼎路店),1802,￥93,豫菜,郑州东站,烙馍四宝拼， 鱼头红焖+鱼丸清炖， 地锅馍蘸酱,解家河南菜!四人餐,无
Two Birds One Stone·一石二鸟(木色店),2642,￥86,咖啡,郑东新区CBD,招牌羊角班尼， 澳白， 照烧鸡肉凤梨沙拉,Two Birds One Stone·一石二鸟!仅售185元！价值245元的能量双人餐。,无
绿茶餐厅(郑州万象城店),4802,￥67,浙菜,万象城,面包诱惑， 石锅鸡汤豆腐， 绿茶饼,绿茶餐厅!仅售145元！价值150元的代金券1张，全场通用，单次消费最多可用1张，不可与其它代金券叠加使用。,无
曼玉餐厅(二七万达店),3329,￥70,特色菜,二七万达,台式三杯鸡， 招牌炒饭， 蜂蜜厚多士,曼玉餐厅!曼玉春日春游小聚双人餐,无
食欲老院子河南民间菜(农业路店),5293,￥74,豫菜,国贸360,老院子扒皮鱼， 荆芥疙瘩汤， 酸汤焦烧丸,食欲老院子河南民间菜!老院子豆酱,无
方中山胡辣汤(顺河路店),7584,￥20,胡辣汤,人民路/紫荆山,牛肉盒， 葱花油饼， 精品两掺胡辣汤,方中山胡辣汤!【春到胃里暖】优质双人餐,无
出云记(城东路店),2539,￥85,浙菜,人民路/紫荆山,出云辣子鸡， 脆皮猪蹄， 牛骨髓炒豆腐,出云记!仅售118元！价值158元的出云辣子鸡工作日双人餐。,无
曼玉餐厅(大卫城店),3915,￥76,特色菜,丹尼斯·大卫城,台式三杯鸡， 招牌炒饭， 冰火菠萝油,曼玉餐厅!曼玉春日春游小聚双人餐,无
郑州烤鸭总店,4093,￥69,烤鸭,人民路/紫荆山,烤鸭整， 三鲜伊府面， 红豆粥,郑州烤鸭总店!尊享超值单人餐,无
阿五黄河大鲤鱼(英协路店),6235,￥106,豫菜,曼哈顿广场/英协路,红烧黄河鲤鱼， 牛奶炒饭， 熬炒鸡,阿五黄河大鲤鱼!仅售1000元！价值1100元的储值卡1张。,无
锦珍锦顺德开煲(农科路店),2910,￥80,粤菜馆,国贸360,生蕨清远鸡， 腊味煲仔饭， 花青粥,锦珍锦顺德开煲!【广式招牌推荐】砂锅海鲜粥双人餐,有
栖三(未来路店),2724,￥74,西餐,曼哈顿广场/英协路,牛肉茶泡饭， 主厨沙拉， 甜白鲜虾意面,栖三!仅售119元！价值175元的栖三甄选双人餐。,无
华豫川酒家(金水路店),3045,￥97,川菜馆,人民路/紫荆山,藤椒太安鱼， 鸡丝拌荞面， 清一色毛血旺,华豫川酒家!仅售38元！价值76元的华豫川自制辣椒酱2瓶，可免费使用包间。,有
阿五黄河大鲤鱼(纬三路店),4972,￥106,豫菜,人民路/紫荆山,红烧黄河鲤鱼， 牛奶炒饭， 煎烧黄河鲤鱼,阿五黄河大鲤鱼!仅售1000元！价值1100元的储值卡1张。,无
惠丰源烩面馆(经七路店),2066,￥30,烩面馆,国贸360,烩面， 凉菜， 凉拌牛肉,无,无
小大董·烤鸭(天空之城店),4468,￥80,烤鸭,郑州东站,酥不腻烤鸭， 小大董酿皮， 海盐冰淇淋,小大董·烤鸭!仅售468元！价值663元的小大董甄选四人餐。,有
裕丰源豫食雅宴,2383,￥98,豫菜,郑州东站,优质滋补烩面， 豫府扣四宝， 陈氏红烧黄河鲤鱼,裕丰源豫食雅宴!仅售9.9元！价值18元的杏仁布丁1份。,有
